x,y,z,label
-7,-11,-5,Circulo
16,11,0,Circulo
-8,-20,9,Circulo
-16,-2,-2,Circulo
0,20,-2,Circulo
11,8,-3,Circulo
8,-7,7,Circulo
-1,-13,8,Circulo
-15,-9,1,Circulo
-13,12,-2,Circulo
9,19,1,Circulo
7,0,1,Circulo
4,-10,4,Circulo
-5,-13,5,Circulo
-20,0,5,Circulo
-5,18,-5,Circulo
19,14,-5,Circulo
10,-2,7,Circulo
6,-11,6,Circulo
0,-15,7,Circulo
-25,-3,5,Circulo
-2,23,0,Circulo
16,12,-5,Circulo
8,-4,2,Circulo
2,-12,4,Circulo
-3,-11,6,Circulo
-24,-6,3,Circulo
-2,23,-5,Circulo
19,14,0,Circulo
8,-8,1,Circulo
0,-14,1,Circulo
-6,-11,5,Circulo
-22,2,4,Circulo
2,24,-1,Circulo
15,9,0,Circulo
12,-3,3,Circulo
2,-13,4,Circulo
-11,-11,9,Circulo
-15,4,-4,Circulo
0,20,-3,Circulo
14,4,1,Circulo
11,-8,7,Circulo
-3,-18,9,Circulo
-12,0,0,Circulo
-9,17,-3,Circulo
12,17,4,Circulo
15,-4,3,Circulo
5,-16,9,Circulo
-11,-7,3,Circulo
-14,6,-6,Circulo
1,17,0,Circulo
16,7,2,Circulo
14,-8,5,Circulo
-4,-16,7,Circulo
-13,-8,4,Circulo
-13,12,0,Circulo
3,20,-2,Circulo
15,7,1,Circulo
11,-6,0,Circulo
0,-16,7,Circulo
-11,-12,6,Circulo
-14,8,2,Circulo
3,21,0,Circulo
17,6,1,Circulo
9,-10,5,Circulo
-5,-15,2,Circulo
-14,0,1,Circulo
-8,16,-5,Circulo
10,13,-2,Circulo
14,-6,3,Circulo
7,-19,3,Circulo
-14,-6,4,Circulo
-11,9,0,Circulo
2,15,0,Circulo
11,4,0,Circulo
8,-5,4,Circulo
0,-15,5,Circulo
-12,-8,5,Circulo
-14,9,-1,Circulo
0,17,-2,Circulo
14,8,0,Circulo
9,-9,-3,Circulo
0,-14,6,Circulo
-10,-8,4,Circulo
-12,7,-1,Circulo
1,17,0,Circulo
13,5,-2,Circulo
7,-9,-1,Circulo
0,-13,4,Circulo
-11,-6,3,Circulo
-11,9,0,Circulo
4,14,0,Circulo
14,6,0,Circulo
10,-4,2,Circulo
4,-13,7,Circulo
-8,-10,6,Circulo
-13,8,-1,Circulo
0,14,0,Circulo
12,4,0,Circulo
8,-1,3,Circulo
-1,-20,8,Circulo
-16,-6,4,Circulo
-6,15,-3,Circulo
7,12,-2,Circulo
15,0,1,Circulo
9,-7,7,Circulo
-2,-16,8,Circulo
-15,1,4,Circulo
-6,16,-4,Circulo
8,9,-1,Circulo
15,-1,3,Circulo
1,-15,5,Circulo
-14,-7,1,Circulo
-7,13,0,Circulo
9,10,-2,Circulo
7,-3,1,Circulo
2,-9,1,Circulo
-5,-11,1,Circulo
-13,6,2,Circulo
-2,13,-1,Circulo
8,6,-2,Circulo
9,-2,0,Circulo
5,-8,2,Circulo
-6,-12,4,Circulo
-13,2,3,Circulo
-1,15,-1,Circulo
9,5,-3,Circulo
7,-1,0,Circulo
4,-14,3,Circulo
-5,-9,0,Circulo
-12,9,0,Circulo
0,14,0,Circulo
15,-8,0,Circulo
10,-20,10,Circulo
-10,35,-6,Circulo
-6,26,5,Circulo
0,2,0,Circulo
0,-5,-2,Circulo
